,index,age,campaign_connect_times,after_campaign_connect_day,before_campaign_connect_times,employment_rate,consumer_price_index,consumer_confidence_index,euducation_level_high,euducation_level_low,euducation_level_medium,job_employment,job_retired,job_student,job_unemployed,marital_divorced,marital_married,marital_single,marital_unknown,have_credit_card_no,have_credit_card_unknown,have_credit_card_yes,have_housing_loan_no,have_housing_loan_unknown,have_housing_loan_yes,have_personal_loan_no,have_personal_loan_unknown,have_personal_loan_yes,connect_method_cellular,connect_method_telephone,previous_connect_month_3.0,previous_connect_month_4.0,previous_connect_month_5.0,previous_connect_month_6.0,previous_connect_month_7.0,previous_connect_month_8.0,previous_connect_month_9.0,previous_connect_month_10.0,previous_connect_month_11.0,previous_connect_month_12.0,previous_connect_weekday_Friday,previous_connect_weekday_Monday,previous_connect_weekday_Thursday,previous_connect_weekday_Tuesday,previous_connect_weekday_Wednesday,last_campaign_outcomes_failure,last_campaign_outcomes_nonexistent,last_campaign_outcomes_success,pca_0,pca_1,pca_2,um_0,um_1
10,10,36.0,1.0,-1.0,0.0,61.4,94.465,-41.8,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-19538.999022637887,-6.168695985129388,-4.280643726076252,3.852897,20.56914
11,11,52.0,1.0,-1.0,0.0,61.4,93.918,-42.7,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,-19537.999121271518,-6.7123075852907625,11.694088741337511,3.8597383,20.56191
12,12,47.0,2.0,-1.0,0.0,61.1,93.994,-36.4,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-19536.999069612666,-6.637383267734272,6.805973120962478,3.8432438,20.575403
13,13,32.0,1.0,-1.0,0.0,61.4,93.918,-42.7,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,-19535.998833434693,-6.715662970303126,-8.31032003117426,3.8523798,20.568388
14,14,28.0,3.0,-1.0,1.0,57.1,92.201,-31.4,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-19534.998365256244,-8.433729707879284,-12.097590870049974,3.8467278,20.57382
15,15,23.0,1.0,-1.0,0.0,58.2,92.893,-46.2,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-19533.99845766455,-7.741660007696497,-17.36859417927692,3.8388124,20.580626
16,16,31.0,1.0,-1.0,0.0,58.2,92.893,-46.2,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-19532.998572560216,-7.7398843624072535,-9.363023735818347,3.8317208,20.58496
17,17,43.0,1.0,-1.0,0.0,61.4,93.444,-36.1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,-19531.998879581904,-7.187004356564265,2.8118077215802617,3.8404193,20.578442
18,18,32.0,3.0,-1.0,0.0,58.2,92.893,-46.2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-19530.998585781414,-7.739136897331617,-8.362690636542366,3.8322704,20.585068
19,19,51.0,3.0,-1.0,0.0,61.1,93.994,-36.4,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-19529.99912643484,-6.634882094133952,10.806616816912959,3.8274953,20.585165
20,20,29.0,1.0,-1.0,0.0,59.9,93.2,-42.0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,-19528.998618325964,-7.432588717626746,-11.288889228535002,3.8333178,20.585152
21,21,31.0,1.0,-1.0,0.0,61.4,93.444,-36.1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,-19527.998706057322,-7.188354931601801,-9.183863731156695,3.8563719,20.568623
22,22,36.0,1.0,-1.0,0.0,61.4,93.444,-36.1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,-19526.998778545367,-7.187140378446884,-4.186361324583447,3.812745,20.599419
23,23,48.0,3.0,-1.0,0.0,61.4,93.444,-36.1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,-19525.99895068462,-7.18454891011141,7.819026843068606,3.8139884,20.595648
24,24,48.0,3.0,-1.0,0.0,59.9,93.2,-42.0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,-19524.998891190276,-7.4279239735375135,7.709691972132146,3.8815331,20.531086
25,25,31.0,2.0,-1.0,0.0,61.4,93.444,-36.1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,-19523.998706233102,-7.187348948366768,-9.186461214552924,3.7713342,20.63317
26,26,30.0,1.0,-1.0,0.0,58.3,94.055,-39.8,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-19522.9988385577,-6.576053695894353,-10.258317465278942,3.7890506,20.62206
27,27,32.0,21.0,-1.0,0.0,61.4,94.465,-41.8,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-19521.99895573569,-6.164824410648321,-8.268356209360764,3.747941,20.648087
28,28,88.0,6.0,-1.0,0.0,58.2,92.843,-50.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-19520.999378173878,-7.775641144825041,47.571614205064385,3.7768335,20.59548
29,29,36.0,2.0,-1.0,1.0,58.2,92.893,-46.2,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-19519.998643704548,-7.735743377527663,-4.361772987409148,3.813151,20.582605
30,30,39.0,2.0,-1.0,0.0,58.2,92.893,-46.2,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-19518.998687012645,-7.73495808198378,-1.3567474393070302,3.7200873,20.66732
31,31,32.0,1.0,-1.0,0.0,61.4,93.444,-36.1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,-19517.998720920714,-7.18574708557838,-8.185391536569702,3.723588,20.665817
32,32,36.0,1.0,-1.0,0.0,58.2,93.075,-47.1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-19516.998687917636,-7.553027648331485,-4.3786231357579215,3.7148654,20.671354
33,33,29.0,1.0,-1.0,0.0,61.4,93.444,-36.1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,-19515.998678675867,-7.18584077451581,-11.193102129200424,3.6956153,20.686312
34,34,31.0,1.0,-1.0,0.0,61.4,93.918,-42.7,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-19514.99881946797,-6.710819671695658,-9.30912111599732,3.6932871,20.686945
35,35,44.0,5.0,-1.0,0.0,61.4,93.918,-42.7,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-19513.99900475698,-6.707972035934849,3.7026169283592307,3.7081645,20.673986
36,36,36.0,1.0,-1.0,0.0,61.1,93.994,-36.4,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-19512.998912349085,-6.633752554452402,-4.189054440783709,3.6853876,20.689838
37,37,38.0,2.0,-1.0,0.0,58.2,93.075,-47.1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-19511.998716542173,-7.55138357664671,-2.3791503237034366,3.6857448,20.690727
38,38,24.0,3.0,-1.0,0.0,61.1,93.994,-36.4,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-19510.99873756961,-6.635535886239024,-16.18718321774682,3.706509,20.681658
39,39,39.0,1.0,-1.0,0.0,61.4,94.465,-41.8,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-19509.9990660019,-6.1611579769218,-1.2841566217014515,3.6760905,20.695993
40,40,32.0,3.0,-1.0,0.0,61.4,93.444,-36.1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,-19508.998721294687,-7.18354275488805,-8.183992459269025,3.6600587,20.707195
41,41,31.0,3.0,-1.0,1.0,57.1,92.963,-40.8,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-19507.99858993896,-7.664108792569953,-9.264707475875799,3.6919932,20.68912
42,42,31.0,8.0,-1.0,0.0,58.3,94.215,-40.3,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-19506.99888879249,-6.411819160101715,-9.253095041324727,3.559691,20.788822
43,43,53.0,4.0,-1.0,0.0,58.2,92.893,-46.2,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-19505.99888890283,-7.729070690413648,12.636469465056802,3.4583051,20.81988
44,44,35.0,2.0,-1.0,0.0,57.1,92.963,-40.8,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-19504.99864790483,-7.662669272006103,-5.266945252028945,3.649563,20.71248
45,45,50.0,4.0,-1.0,0.0,61.4,93.444,-36.1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,-19503.998979669097,-7.178846763108129,9.816915166418836,3.4427881,20.828815
46,46,33.0,2.0,-1.0,0.0,58.2,92.893,-46.2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-19502.99860197483,-7.732235200394459,-7.3695857937259515,3.6399481,20.718267
47,47,28.0,2.0,-1.0,0.0,61.4,93.918,-42.7,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,-19501.99877565596,-6.708252695342551,-12.294130163334234,3.6483243,20.714434
48,48,40.0,12.0,-1.0,0.0,61.1,93.994,-36.4,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-19500.998965003488,-6.629779681425549,-0.18406445726547102,3.5528765,20.767183
49,49,54.0,2.0,-1.0,0.0,61.1,93.994,-36.4,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-19499.999172345517,-6.627146708046331,13.807744119638587,3.3521926,20.87922
50,50,32.0,2.0,-1.0,1.0,59.9,93.2,-42.0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,-19498.998660910373,-7.4247489423221325,-8.286644912480622,3.582205,20.74689
51,51,46.0,11.0,-1.0,0.0,61.4,93.444,-36.1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,-19497.998919009362,-7.177971134901693,5.821398342896703,3.3899355,20.855804
52,52,28.0,1.0,-1.0,0.0,61.1,93.994,-36.4,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-19496.998797007138,-6.631456501017073,-12.195729172041432,3.5494087,20.767036
53,53,45.0,2.0,-1.0,0.0,61.4,93.918,-42.7,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,-19495.99902118551,-6.703536565366756,4.6999948853225515,3.3703423,20.865503
54,54,50.0,3.0,-1.0,0.0,61.1,93.994,-36.4,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-19494.99911260758,-6.626669383082769,9.807052132284456,3.3766553,20.863352
55,55,53.0,3.0,-1.0,0.0,59.9,93.2,-42.0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,-19493.998964085687,-7.4194908349398165,12.701728022442795,3.3665047,20.868462
56,56,47.0,1.0,-1.0,0.0,59.9,93.2,-42.0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,-19492.998878006427,-7.420463214422195,6.709075885073537,3.3471315,20.876444
57,57,55.0,5.0,-1.0,0.0,61.4,93.444,-36.1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,-19491.999052307885,-7.174976917557749,14.82129132008759,3.3616157,20.870747
58,58,45.0,1.0,-1.0,0.0,58.2,93.075,-47.1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-19490.998817836517,-7.545039920842815,4.626507492960013,3.314257,20.893755
59,59,36.0,3.0,-1.0,2.0,58.2,93.075,-47.1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-19489.99868716517,-7.546411140730312,-4.375004771832534,3.2777817,20.907843
60,60,52.0,2.0,-1.0,0.0,61.4,93.918,-42.7,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-19488.999121411012,-6.700514831353731,11.698523538460694,3.3189917,20.892117
61,61,42.0,3.0,-1.0,0.0,61.4,94.465,-41.8,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-19487.99910922236,-6.155209461688661,1.7071511626442668,3.2786295,20.909758
62,62,49.0,3.0,-1.0,0.0,61.4,93.918,-42.7,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-19486.999078215955,-6.700567751794172,8.694870190432281,3.304757,20.902243
63,63,37.0,2.0,-1.0,0.0,58.2,92.893,-46.2,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-19485.99865940455,-7.727407495939078,-3.3626313550208313,3.219972,20.936424
64,64,35.0,2.0,-1.0,0.0,59.9,93.2,-42.0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,-19484.998705745387,-7.420824856845271,-5.292329304042023,3.2075207,20.9443
65,65,30.0,5.0,-1.0,0.0,59.9,93.2,-42.0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,-19483.998631578474,-7.421461164086926,-10.283404198813624,3.1554193,20.972546
66,66,57.0,1.0,-1.0,0.0,58.2,93.075,-47.1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-19482.99899121752,-7.540814413936292,16.61760551787442,3.2677186,20.922504
67,67,55.0,1.0,-1.0,0.0,61.4,93.918,-42.7,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,-19481.999165738973,-6.698273814625616,14.69740222544148,3.24949,20.930973
68,68,58.0,1.0,-1.0,0.0,59.9,93.2,-42.0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,-19480.99903664188,-7.41547322558318,17.710829504876525,3.2585459,20.92841
69,69,32.0,1.0,-1.0,0.0,61.4,93.918,-42.7,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,-19479.998834321337,-6.7022050475705495,-8.309562919219045,3.0895889,21.008617
70,70,41.0,5.0,-1.0,0.0,61.4,94.465,-41.8,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-19478.9990945647,-6.153175415844447,0.7185271561839467,3.2022746,20.914804
71,71,26.0,1.0,-1.0,0.0,58.2,93.876,-40.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-19477.998739539114,-6.745011677883353,-14.247750655904602,3.078417,21.014706
72,72,54.0,3.0,-1.0,0.0,58.2,92.893,-46.2,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-19476.998904019056,-7.7219317318708045,13.635306361451976,3.208269,20.955288
73,73,27.0,1.0,-1.0,0.0,58.2,92.893,-46.2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-19475.998516512638,-7.726922679958951,-13.36886908629722,3.0477197,21.035027
74,74,58.0,2.0,-1.0,0.0,58.2,92.893,-46.2,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-19474.998962303394,-7.720705763306629,17.637444081455044,3.1659358,20.977713
75,75,42.0,17.0,-1.0,0.0,61.4,93.918,-42.7,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,-19473.99897141318,-6.698401033200517,1.7104930147808204,3.0189536,21.047459
76,76,47.0,1.0,-1.0,0.0,61.1,93.994,-36.4,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-19472.999071611765,-6.622020245401489,6.809427010085724,3.0283856,21.048
77,77,35.0,2.0,-1.0,0.0,59.9,93.2,-42.0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,-19471.99870499384,-7.41770826026237,-5.287587781110638,2.997489,21.060404
78,78,43.0,1.0,-1.0,1.0,58.2,93.075,-47.1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-19470.99878917364,-7.5405775827681065,2.621253731108252,2.976449,21.069447
79,79,28.0,2.0,-1.0,0.0,58.2,92.893,-46.2,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-19469.998530873236,-7.725290955838478,-12.368934841185489,2.9971979,21.061104
80,80,30.0,1.0,-1.0,0.0,61.4,93.918,-42.7,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-19468.9988056222,-6.699969556446405,-10.301441590084446,2.9363616,21.089693
81,81,31.0,10.0,-1.0,0.0,61.4,93.444,-36.1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,-19467.998704282854,-7.173674961370879,-9.17613014430067,2.961544,21.076847
82,82,50.0,4.0,-1.0,0.0,61.4,93.918,-42.7,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-19466.99909309547,-6.695550791746955,9.704504308814686,3.031941,21.044832
83,83,30.0,2.0,-1.0,0.0,58.2,92.893,-46.2,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-19465.99855965565,-7.723934315690449,-10.368618409372392,2.9085317,21.103771
84,84,41.0,1.0,-1.0,0.0,59.9,93.2,-42.0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,-19464.99879212606,-7.414886965242878,0.71068400661907,2.8917308,21.111156
